   1Grove                   Grove         GR    GR          TY  
   2Gully                   Gully         GLY   GLY         TY  
   3Vale                    Vale          VALE  VALE        TY
   4Nook                    NOOK          NOOK  NOOK        TY 
   5Circuit                 Circuit       CCT   CCT         TY 
   6Upper                   UPR           UPR   UPR         TY
   7Ramble                  RMBL          RMBL  RMBL        TY  
   8Heights                 Heights       HTS   HTS         TY
   9Grange                  Grange        GRA   GRA         TY 
  10Retreat                 RTT           RTT   RTT         TY
  11Alley                   Alley         ALLY  ALLY        TYRU
  12Alternate Route         Alt Rte       ALTR  ALTR        TYR 
  13Wynd                    WYND          WYND  WYND        TY  
  14Glen                    GLEN          GLEN  GLEN        TY                              
  15Arcade                  Arcade        ARC   ARC         TYRU 
  16Mews                    MEWS          MEWS  MEWS        TY  
  17End                     END           END   END         TY 
  18Anchorage               ANCG          ANCG  ANCG        TY                           
  19Avenue                  AVE           AVE   AVE A       TYRU 
  20Dale                    Dale          DALE  DALE        TY  
  21Crossway                COWY          COWY  COWY        TY  
  22Flat                    FLAT          FLAT  FLAT        TY  
  23Crest                   CRST          CRST  CRST        TY
  24Quay                    QY            QY    QY          TY                         
  26Boulevard               Bvd           BVD   BVD         TY                               
  33Business Route          Bus Rte       BsRt  BsRt        TYR                                
  34Bypass                  Bypass        BYPA  BYPA        TYRU                               
  48Causeway                Caus          CAUS  CAUSAH      TYRU                                
  51Center                  Center        CTR   CTR DA      TYRU                              
  56Circle                  Circle        CIR   CIR A       TYRU                                
  67County Highway          County Hwy    CoHwy CoRdA       TYR                                 
  69County Road             County Rd     CoRd  CoRdA       TYR                                 
  70County Route            County Rte    CoRte CoRdA       TYR                                 
  71Court                   Court         CT    CT  DA      TYRU                               
  73Cove                    Cove          COVE  COVEAH      TYRU                               
  76Crescent                Cres          CRES  CRESA       TYRU                               
  77Crossing                CRSG          CRSG  CRSGA       TYRU                               
  87Drive                   Drive         DR    DR  A       TYRU                                
  94Expressway              EXP           EXP   EXP A       TYRU                                
  99Farm-to-market Road     F-M Rd        FM    FM  A       TYR                               
 101Wharf                   Wharf         WHRF  WHRF        TY 
 102Lower                   LWR           LWR   LWR         TY  
 103Ridge                   RDGE          RDGE  RDGE        TY                              
 110Four-wheel Drive Trail  4wd Trl       4wd   4wd A       TYR                                
 112Freeway                 Freeway       FWY   FWY A       TYRU                                
 122Highway                 Highway       HWY   HWY A       TYRU                                
 133Interstate Highway      I-            I-    I-  A       TYR                                
 138Jeep Trail              Jeep Trl      JpTr  JpTrA       TYR                                 
 146Lane                    Lane          LANE  LANEA       TYRU                                
 151Loop                    Loop          LOOP  LOOPA       TYRU                               
 164Motorway                Mwy           MWY   MWYA        TYR                                 
 178Overpass                Ovps          Ovps  OvpsA       TYR                               
 179Park                    Park          PARK  PARKAD      TYRU                               
 180Parkway                 Pkwy          PKWY  PKWYA       TYRU                                
 185Pass                    Pass          PASS  PASSHA      TYRU                               
 187Path                    Path          PATH  PATHA       TYRU                               
 189Pike                    Pike          PIKE  PIKEA       TYRU                               
 192Place                   Pl            PL    PL  A       TYRU                               
 193Plaza                   Plaza         PLZA  PLZA        TYRU                                
 209Ramp                    Ramp          RAMP  RAMPA       TYR                                 
 223Road                    Road          RD    RDA         TYRU                               
 227Route                   Route         RTE   RTE A       TYR                                 
 228Row                     Row           ROW   ROW A       TYRU                               
 229Rue                     Rue           RUE   RUE A       TYR                               
 230Run                     Run           RUN   RUN A       TYRU                                
 240Service Road            Srv Rd        SrvRd SvRdA       TYR                                 
 248Skyway                  Skwy          Skwy  SkwyA       TYR                                 
 253Speedway                Spdwy         Spdwy SpwyA       TYR                                
 256Square                  Square        SQ    SQ  AD      TYRU                               
 257State Highway           State Hwy     SHWY  SHWYA       TYR                                 
 258State Road              State Rd      SRd   SRD A       TYR                                 
 259State Route             State Rte     SRTE  SRTEA       TYR                                
 263Street                  Street        ST    ST  A       TYRU                                
 268Terrace                 Tce           TCE   TCE AD      TYRU                               
 269Thoroughfare            Thor          THOR  THORHA      TYR                                
 270Throughway              Thwy          Thwy  ThwyA       TYR                                 
 272Township Highway        Twp Hwy       TwpHy TwHyA       TYR                                 
 273Township Road           Twp Rd        TwpRd TwHyA       TYR                                
 274Trafficway              Tfwy          Tfwy  TfwyA       TYR                                
 275Trail                   Trail         TRL   TRL A       TYR                                 
 278Tunel                   Tunel         Tun   Tun AB      TYR                                 
 279Tunnel                  Tunnel        Tunl  TunlAB      TYRU                               
 280Turnpike                Tpke          Tpke  TpkeA       TYRU                               
 281Underpass               UPAS          UPAS  UPASA       TYR                                
 282United States Highway   US Hwy        USHwy USHyA       TYR                                 
 283United States Route     US Rte        USRte USHyA       TYR                                 
 286Unnamed Road            Un Rd         UnRd  UnRdA       TYR                                
 289Via                     Via           Via   Via A       TYR                                
 291Walk                    Walk          WALK  WALKA       TYRU                               
 292Walkway                 Wlkwy         WKWY  WKWYA       TYR                                 
 293Wall                    Wall          WALL  WALLEA      TYR                               
 296Way                     Way           WAY   WAY A       TYRU                                
 302Natl Forest Develop RoadNFD           NFD   NFD A       TYR                                
 303Oval                    Oval          Oval  OvalEA      TYR                                
 304Estate                  Est           EST   EST         TYR                                 
 305Villa                   Vlla          VLLA  VLLA        TYR                                 
 306Driveway                Drwy          DRWY  DRWY        TYR                                 
 307Roadway                 Rdwy          RDWY  RDWY        TYR                            
 308Stravenue               Stra          Stra  Stra        TYR                                
 309Club                    Club          Club  ClubA       TYR                                 
 310Courts                  Cts           Cts   Cts A       TYR                                
 311Junction                Jnc           JNC   JNC A       TYR                                 
 312Landing                 Ldg           LDG   LDG A       TYR                                 
 313Lodge                   Ldge          LDGE  LDGEA       TYR                                 
 314Mall                    Mall          MALL  MALLA       TYR                                 
 315Manor                   Mnr           Mnr   Mnr A       TYR                                
 316Station                 Sta           Sta   Sta A       TYR                            
 317Village                 Vlg           Vlg   Vlg A       TYR                                
 318Corner                  Corner        CNR   CNR A       TYR                                
 319Common                  Common        CMMN  CMMNA       TYR                                 
 320Parish Road             Parish Road   ParRd PrRdA       TYR                                
 321EMS                     EMS           EMS   EMS A       TYR  
 324Close                   CL            CL    CL          TYR 
 325Parade                  Pde           PDE   PDE         TYR
 327Esplanade               Esp           ESP   ESP         TYR                                
   1And                     &             &     &           AMR
   2À                       À             À     À           AM                                 
   1Airport                 Arpt          Arpt  Arpt        AUR                                 
   2Attention               Attn          Attn  Attn        AUR                                 
   3Avenues                 Avs           Avs   Avs         AUR                                 
   4Beach                   Bch           Bch   Bch         AUR                                 
   5Between                 Btwn          Btwn  Btwn        AUR                                 
   6Borough                 Boro          Boro  Boro        AUR                                 
   7Bridge                  Brdg          Brdg  Brdg        AUR                                 
   8Broadway                Brwy          Brwy  Brwy        AUR                                 
  10Court                   Ct            Ct    Ct          AUR                                 
  11Dba                     Dba           Dba   Dba         AUR                                 
  13Eight Mile              8 Mi          8 Mi  8 Mi        AUR                                 
  14Eighteeen Mile          18mi          18mi  18mi        AUR                                 
  15Eighteenth              18th          18th  18th        AUR                                 
  16Eighth                  8th           8th   8th         AUR                                 
  17Eleven Mile             11mi          11mi  11mi        AUR                                 
  18Eleventh                11th          11th  11th        AUR                                 
  19Estates                 Est           ESTS  ESTS        AUR                                 
  20Fifteen Mi              15mi          15mi  15mi        AUR                                 
  21Fifteenth               15th          15th  15th        AUR                                 
  22Fifth                   5th           5th   5th         AUR                                 
  23First                   1st           1st   1st         AUR                                 
  24Five Corners            5 Co          5 Co  5 Co        AUR                                 
  25Five Mile               5 Mi          5 Mi  5 Mi        AUR                                 
  26Five Points             5 Pt          5 Pt  5 Pt        AUR                                 
  27Five Town               5 To          5 To  5 To        AUR                                 
  28Fort                    Fort          Fort  Fort        AUR                                 
  29Four Corners            4 Co          4 Co  4 Co        AUR                                 
  30Four Flags              4 Fg          4 Fg  4 Fg        AUR                                 
  31Four Lane               4 Ln          4 Ln  4 Ln        AUR                                 
  32Four Mile               4 Mi          4 Mi  4 Mi        AUR                                 
  33Four Seasons            4 Sn          4 Sn  4 Sn        AUR                                 
  34Fourteen Mile           14mi          14mi  14mi        AUR                                 
  35Fourteenth              14th          14th  14th        AUR                                 
  36Fourth                  4th           4th   4th         AUR                                 
  37From                    From          From  From        AUR                                 
  38Front                   Frnt          Frnt  Frnt        AUR                                 
  39Garden                  Gdn           Gdn   Gdn         AUR                                 
  41Half                    1/2           1/2   1/2         AUR                                 
  43Hollow                  Hllw          Hllw  Hllw        AUR                                 
  44Hwys                    Hwys          Hwys  Hwys        AUR                                 
  45Industrial              Ind           Ind   Ind         AUR                                 
  46Interchange             Ichg          Ichg  Ichg        AUR                                 
  47International           Intl          Intl  Intl        AUR                                 
  48Intersection            Intr          Intr  Intr        AUR                                 
  49Isle                    Isle          Isle  Isle        AUR                                 
  50J F Kennedy             JFK           JFK   JFK         AUR                                 
  53Lake                    Lake          Lake  Lake        AUR                            
  55M L King                MLK           MLK   MLK         AUR                                 
  56Medical                 Med           Med   Med         AUR                                 
  57Memorial                Mem           Mem   Mem         AUR                                 
  58Mile                    Mile          Mile  Mile        AUR                                 
  59Mount                   Mt            Mt    Mt          AUR                                 
  60Mountain                Mtn           Mtn   Mtn         AUR                                 
  61National                Natl          Natl  Natl        AUR                                 
  62Near                    Near          Near  Near        AUR                                 
  63Nine Mile               9 Mi          9 Mi  9 Mi        AUR                                 
  64Nineteen Mile           19mi          19mi  19mi        AUR                                 
  65Nineteenth              19th          19th  19th        AUR                                 
  66Ninth                   9th           9th   9th         AUR                                 
  70Office                  Off           OFF   OFF         AUR                                 
  71One Mile                1 Mi          1 Mi  1 Mi        AUR                                 
  72Outside Of              Outs          Outs  Outs        AUR                                 
  74Park                    Park          Park  Park        AUR                                 
  75Plains                  Plns          Plns  Plns        AUR                                 
  76Point                   Pt            Pt    Pt          AUR                                 
  77Professional            Prof          Prof  Prof        AUR                                 
  78Roads                   Rds           Rds   Rds         AUR                                 
  79Saint                   St            St    St          AUR                                 
  80Second                  2nd           2nd   2nd         AUR                                 
  81Seven Corners           7 Co          7 Co  7 Co        AUR                                 
  82Seven Mile              7 Mi          7 Mi  7 Mi        AUR                                 
  83Seventeen Mile          17mi          17mi  17mi        AUR                                 
  84Seventeenth             17th          17th  17th        AUR                                 
  85Seventh                 7th           7th   7th         AUR                                 
  86Six Flags               6 Fg          6 Fg  6 Fg        AUR                                 
  87Six Mile                6 Mi          6 Mi  6 Mi        AUR                                 
  88Sixteen Mile            16mi          16mi  16mi        AUR                                 
  89Sixteenth               16th          16th  16th        AUR                                 
  90Sixth                   6th           6th   6th         AUR                                 
  95Spring                  Spr           Spr   Spr         AUR                                 
  96Streets                 Sts           Sts   Sts         AUR                                 
  98Ten Mile                10mi          10mi  10mi        AUR                                 
  99Tenth                   10th          10th  10th        AUR                                 
 100Third                   3rd           3rd   3rd         AUR                                 
 101Thirteen Mile           13mi          13mi  13mi        AUR                                 
 102Thirteenth              13th          13th  13th        AUR                                 
 103Three Mile              3 Mi          3 Mi  3 Mi        AUR                                 
 105Twelfth                 12th          12th  12th        AUR                                 
 106Twelve Mile             12mi          12mi  12mi        AUR                                 
 107Twentieth               20th          20th  20th        AUR                                 
 108Twenty Mile             20mi          20mi  20mi        AUR                                 
 109Twenty Three Mile       23mi          23mi  23mi        AUR                                 
 110Two Mile                2 Mi          2 Mi  2 Mi        AUR                                 
 111University              Univ          Univ  Univ        AUR                            
 113Valley                  Val           Val   Val         AUR                                 
 115Woods                   Wood          Wood  Wood        AUR                                 
 116US                      US            US    US          AUR                                 
 126Thirtieth               30th          30th  30th        AUR                                 
 127Fortieth                40th          40th  40th        AUR                                 
 128Fiftieth                50th          50th  50th        AUR                                 
 129Sixtieth                60th          60th  60th        AUR                                 
 130Seventieth              70th          70th  70th        AUR                                 
 131Eightieth               80th          80th  80th        AUR                                 
 132Ninetieth               90th          90th  90th        AUR                 
 201AUSTRALIAN CAPITOL TERR ACT           ACT   ACT A       AURU                                
 202NEW SOUTH WALS          NSW           NSW   NSW A       AURU                                
 203NORTHERN TERRITORY      NT            NT    NT  A       AURU                                
 204QUEENSLAND              QLD           QLD   QLD A       AURU                                
 205SOUTH AUSTRALIA         SA            SA    SA  A       AURU                                
 206TASMANIA                TAS           TAS   TAS A       AURU                                
 208VICTORIA                VIC           VIC   VIC A       AURU                                
 209WESTERN AUSTRALIA       WA            WA    WA  A       AURU   
 226Mi                      MI            MI    MI          AUR                             
 273And                     &             &     &           AUR                                 
 274Creek                   Crk           Crk   Crk         AUR                                 
 275Pavillion               Pavl          Pavl  Pavl        AUR                                 
   1Air Force Base          AFB           AFB   AFB         BUC                                 
   2Airport                 Arpt          Arpt  Arpt        BUC                                 
   3Apartments              Apt           APT   APT         BUR                                 
   4Arcade                  Arc           Arc   Arc         BUC                                 
   5Bazaar                  Bazr          Bazr  Bazr        BUC                                 
   6Building                Bldg          Bldg  Bldg        BUR                                 
   7Business Park           Bspk          BsPk  BsPk        BUC                                 
   8Center                  Ctr           Ctr   Ctr         BUR                                 
   9Club                    Club          Club  Club        BUC                                 
  10Collection              Cltn          Cltn  Cltn        BUC                                 
  11Commons                 Comn          Comn  Cmmn        BUR                                 
  12Complex                 Cplx          Cplx  Cplx        BUR                                 
  13Condominiums            Cond          Cond  Cond        BUR                                 
  14Connection              Cncn          Cncn  Cncn        BUC                                 
  15Corners                 Cors          Cors  Cors        BUC                                 
  16Courthouse              Cths          Cths  Cths        BUC                                 
  17Courts                  Cts           Cts   Cts         BUC                                 
  18Courtyard               Ctyd          Ctyd  Ctyd        BUC                                 
  19Crossing                Xing          Xing  Xing        BUC                                 
  20Crossroads              Xrds          Xrds  Xrds        BUC                                 
  22Esplanade               Esp           Esp   Esp         BUC                                 
  23Exchange                Exch          Exch  Exch        BUC                                 
  24Festival                Fest          Fest  Fest        BUC                                 
  25Galleria                Galr          Galr  Galr        BUC                                 
  26Hall                    Hall          Hall  Hall        BUC                                 
  27Home                    Home          Home  Home        BUC                                 
  28Hospital                Hosp          Hosp  Hosp        BUC                                 
  29Hotel                   Htl           Htl   Htl         BUC                                 
  30House                   House         HSE   HSE         BUC                                 
