  11Alley                   Alley         Al    Aly A       TYRU                                
  12Alternate Route         Alt Rte       Alt   Alt A       TYR                                 
  15Arcade                  Arcade        Arc   Arc A       TYRU                                 
  19Avenue                  Avenue        Ave   Ave A       TYRU                                
  26Boulevard               Blvd          Blvd  BlvdA       TYRU                                
  33Business Route          Bus Rte       BusRt BsRtA       TYR                                 
  34Bypass                  Bypass        Byp   Byp A       TYRU                                
  48Causeway                Cswy          Cswy  CswyAH      TYRU                                
  56Circle                  Circle        Cir   Cir A       TYRU                                
  67County Highway          County Hwy    CoHwy CoRdA       TYR                                 
  69County Road             County Rd     CoRd  CoRdA       TYR                                 
  70County Route            County Rte    CoRte CoRdA       TYR                                 
  71Court                   Court         Ct    Ct  DA      TYRU                                
  73Cove                    Cove          Cv    Cv  AH      TYRU                                
  76Crescent                Cres          Cres  CresA       TYRU                                
  77Crossing                Xing          Xing  XingA       TYRU                                
  87Drive                   Drive         Dr    Dr  A       TYRU                                
  94Expressway              Exwy          Expy  ExpyA       TYRU                                
  99Farm-to-market Road     F-M Rd        FM    FM  A       TYR                                 
 110Four-wheel Drive Trail  4wd Trl       4wd   4wd A       TYR                                 
 112Freeway                 Frwy          Fwy   Fwy A       TYRU                                
 122Highway                 Hwy           Hwy   Hwy A       TYRU                                
 133Interstate Highway      I-            I-    I-  A       TYR                                 
 138Jeep Trail              Jeep Trl      JpTrl JpTrA       TYR                                 
 146Lane                    Lane          Ln    Ln  A       TYRU                                
 151Loop                    Loop          Lp    LoopA       TYRU                                
 164Motorway                Mtwy          Mtwy  MtwyA       TYR                                 
 178Overpass                Ovps          Ovps  OvpsA       TYR                                 
 179Park                    Park          Park  ParkAD      TYRU                                
 180Parkway                 Pkwy          Pkwy  Pky A       TYRU                                
 185Pass                    Pass          Ps    PassHA      TYRU                                
 187Path                    Path          Path  PathA       TYRU                                
 189Pike                    Pike          Pke   PikeA       TYRU                                 
 192Place                   Place         Pl    Pl  A       TYRU                                
 193Plaza                   Plaza         Plz   Plz DA      TYRU                                
 209Ramp                    Ramp          Rmp   Rmp A       TYR                                 
 223Road                    Road          Rd    RoadA       TYRU                                
 227Route                   Route         Rt    Rt  A       TYR                                 
 228Row                     Row           Row   Row A       TYRU                                
 229Rue                     Rue           Rue   Rue A       TYR                                 
 230Run                     Run           Run   Run A       TYRU                                
 240Service Road            Srv Rd        SrvRd SvRdA       TYR                                 
 248Skyway                  Skwy          Skwy  SkwyA       TYR                                 
 253Speedway                Spdwy         Spdwy SpwyA       TYR                                 
 256Square                  Square        Sq    Sq  AD      TYRU                                
 257State Highway           State Hwy     StHwy StHyA       TYR                                 
 258State Road              State Rd      StRd  StHyA       TYR                                 
 259State Route             State Rte     StRt  StHyA       TYR                                 
 263Street                  Street        St    St  A       TYRU                                
 268Terrace                 Ter           Ter   Ter AD      TYRU                                
 269Thoroughfare            Thoro         Thfr  ThfrHA      TYR                                 
 270Throughway              Thwy          Thwy  ThwyA       TYR                                 
 272Township Highway        Twp Hwy       TwpHy TwHyA       TYR                                 
 273Township Road           Twp Rd        TwpRd TwHyA       TYR                                 
 274Trafficway              Tfwy          Tfwy  TfwyA       TYR                                 
 275Trail                   Trail         Trl   Trl A       TYR                                   
 279Tunnel                  Tunnel        Tunl  TunlAB      TYRU                                
 280Turnpike                Tpke          Tpke  TpkeA       TYRU                                
 281Underpass               Unps          Unps  UnpsA       TYR                                 
 282United States Highway   US Hwy        USHwy USHyA       TYR                                 
 283United States Route     US Rte        USRte USHyA       TYR                                 
 286Unnamed Road            Un Rd         UnRd  UnRdA       TYR                                 
 291Walk                    Walk          Wk    WalkA       TYRU                                
 292Walkway                 Wlkwy         Wkwy  WkwyA       TYR                                 
 293Wall                    Wall          Wl    WallEA      TYR                                 
 296Way                     Way           Wy    Way A       TYRU                                
 302Natl Forest Develop RoadNFD           NFD   NFD A       TYR                                 
 303Oval                    Oval          Oval  OvalEA      TYR                                 
 304Estates                 Est           Est   Est         TYR                                 
 305Villa                   Vlla          Vlla  Vlla        TYR                                 
 306Driveway                Drwy          Drwy  Drwy        TYR                                 
 307Roadway                 Rdwy          Rdwy  Rdwy        TYR                                 
 308Stravenue               Stra          Stra  Stra        TYR                                 
 309Club                    Club          Club  ClubA       TYR                                 
 310Courts                  Cts           Cts   Cts A       TYR                                 
 311Junction                Jct           Jct   Jct A       TYR                                 
 312Landing                 Lndg          Lndg  LndgA       TYR                                 
 313Lodge                   Ldge          Ldge  LdgeA       TYR                                 
 314Mall                    Mall          Mall  MallA       TYR                                 
 315Manor                   Mnr           Mnr   Mnr A       TYR                                 
 316Station                 Sta           Sta   Sta A       TYR                                 
 317Village                 Vlg           Vlg   Vlg A       TYR                                 
 318Corners                 Cors          Cors  CorsA       TYR                                 
 319Common                  Comn          Comn  ComnA       TYR                                 
 320Parish Road             Parish Road   ParRd PrRdA       TYR                                 
 321EMS                     EMS           EMS   EMS A       TYR                                 
 322Passage                 Passage       Psg   Psg A       TYR                                 
 323Point                   Pt            Pt    Pt          TYR                                 
 324Close                   Cl            Cl    Cl          TYR                                 
 325Ground                  Grnd          Grnd  Grnd        TYR                                 
 326Manorway                Mnrwy         Mnrwy Mnwy        TYR                                 
 327Parade                  Prd           Prd   Prd         TYR                                 
 328Gardens                 Gdn           Gdn   Gdn         TYR                                 
 329Grove                   Grv           Grv   Grv         TYR                                 
 330Hill                    Hl            Hl    Hl          TYR                                 
 331Green                   Grn           Grn   Grn         TYR                                 
 332View                    Vw            Vw    Vw          TYR                                 
 333Rise                    Rise          Rise  Rise        TYR                                 
 334End                     End           End   End         TYR                                 
 335Bank                    Bnk           Bnk   Bnk         TYR                                 
 337Mews                    Mws           Mws   Mws         TYR                                 
 338Gate                    Gt            Gt    Gt          TYR                                 
 339Broadway                Bdwy          Bdwy  Bdwy        TYR                                 
 340Mead                    Md            Md    Md          TYR                                 
 341Vale                    Vl            Vl    Vl          TYR                                 
 342Meadow                  Mdw           Mdw   Mdw         TYR                                 
 343Field                   Fld           Fld   Fld         TYR                                 
 344Cross                   Crs           Crs   Crs         TYR                                 
 345Approach                Apch          Apch  Apch        TYR                                 
 346Chase                   Chs           Chs   Chs         TYR                                 
 347Corner                  Cor           Cor   Cor         TYR                                 
 348Side                    Side          Side  Side        TYR                                 
 349Wood                    Wood          Wood  Wood        TYR                                 
 350Fold                    Fold          Fold  Fold        TYR                                 
 352Drove                   Drov          Drov  Drov        TYR                                 
 353Pleasant                Plst          Plst  Plst        TYR                                 
 354Orchard                 Orch          Orch  Orch        TYR                                 
 355Brae                    Brae          Brae  Brae        TYR                                 
 356Heights                 Hts           Hts   Hts         TYR                                 
 357Brow                    Brw           Brw   Brw         TYR                                 
 358Grange                  Grng          Grng  Grng        TYR                                 
 361Loan                    Loan          Loan  Loan        TYR                                 
 362Ride                    Ride          Ride  Ride        TYR                                 
 363Ridge                   Rdg           Rdg   Rdg         TYR                                 
 364Esplanade               Esp           Esp   Esp         TYR                                 
 365Promenade               Prom          Prom  Prom        TYR                                 
 366Quay                    Quay          Quay  Quay        TYR                                 
 367Paddock                 Pdk           Pdk   Pdk         TYR                                 
 368Dale                    Dl            Dl    Dl          TYR                                 
 370Acre                    Acre          Acre  Acre        TYR                                 
 371Strand                  Strd          Strd  Strd        TYR                                 
 372Glade                   Gld           Gld   Gld         TYR                                 
 373Dene                    Dene          Dene  Dene        TYR                                 
 374Quadrant                Qdrt          Qdrt  Qdrt        TYR                                 
 375Head                    Hd            Hd    Hd          TYR                                 
 376Wharf                   Whrf          Whrf  Whrf        TYR                                 
 377Spinney                 Spny          Spny  Spny        TYR                                 
 378Circus                  Crcs          Crcs  Crcs        TYR                                 
 379Down                    Down          Down  Down        TYR                                 
 380Lawn                    Lwn           Lwn   Lwn         TYR                                 
 381Crest                   Crst          Crst  Crst        TYR                                 
 382Copse                   Cps           Cps   Cps         TYR                                 
 383Arches                  Arch          Arch  Arch        TYR                                 
 385Butts                   Bts           Bts   Bts         TYR                                 
 386Piece                   Pce           Pce   Pce         TYR                                 
 389Coppice                 Cpce          Cpce  Cpce        TYR                                 
 390Cliff                   Clf           Clf   Clf         TYR                                 
 391Plain                   Pln           Pln   Pln         TYR                                 
 392Royd                    Ryd           Ryd   Ryd         TYR                                 
 393Furlong                 Frlg          Frlg  Frlg        TYR                                 
 394Knoll                   Knl           Knl   Knl         TYR                                 
 396Reach                   Rch           Rch   Rch         TYR                                 
 398Bar                     Bar           Bar   Bar         TYR                                 
 399Embankment              Embk          Embk  Embk        TYR                                 
 400Hyde                    Hyd           Hyd   Hyd         TYR                                 
 401Vue                     Vue           Vue   Vue         TYR                                 
 402Dyke                    Dyk           Dyk   Dyk         TYR                                 
 403Riding                  Rdg           Rdg   Rdg         TYR                                 
 404Pier                    Pier          Pier  Pier        TYR                                 
 405Range                   Rng           Rng   Rng         TYR                                 
 406Cut                     Cut           Cut   Cut         TYR                                 
 409Pasture                 Pstr          Pstr  Pstr        TYR                                 
 410Quayside                Qysd          Qysd  Qysd        TYR                                 
 412Quadrangle              Qdrg          Qdrg  Qdrg        TYR                                 
 415Droveway                Drvy          Drvy  Drvy        TYR                                 
 417Pallant                 Palt          Palt  Palt        TYR                                 
 418Twitten                 Twtn          Twtn  Twtn        TYR                                 
 419Ing                     Ing           Ing   Ing         TYR                                 
 420Patch                   Ptch          Ptch  Ptch        TYR                                 
 421Within                  Wthn          Wthn  Wthn        TYR                                 
 422Steine                  Stne          Stne  Stne        TYR                                 
 423Without                 Wtho          Wtho  Wtho        TYR                                 
 425How                     How           How   How         TYR                                 
 427Cutting                 Ctg           Ctg   Ctg         TYR                                 
 428Wynde                   Wynd          Wynd  Wynd        TYR                                 
 430Turning                 Trng          Trng  Trng        TYR                                 
 433Almhouses               Alhs          Alhs  Alhs        TYR                                 
 434Axe                     Axe           Axe   Axe         TYR                                 
 436Bridge                  Brdg          Brdg  Brdg        TYR                                 
 437Brook                   Brk           Brk   Brk         TYR                                 
 438Airport                 Arpt          Arpt  Arpt        TYR                                 
 439Buildings               Blgs          Blgs  Blgs        TYR                                 
 440Bungalows               Bngs          Bngs  Bngs        TYR                                 
 442Westgate                Wsgt          Wsgt  Wsgt        TYR                                 
 444Cottages                Ctgs          Ctgs  Ctgs        TYR                                 
 446Fields                  Flds          Flds  Flds        TYR                                 
 447Paddocks                Pdks          Pdks  Pdks        TYR                                 
 448Acres                   Acrs          Acrs  Acrs        TYR                                 
 449Lawns                   Lwns          Lwns  Lwns        TYR                                 
 450Ville                   Vl            Vl    Vl  A       TYR                                 
   1And                     &             &     &           AMR                                 
   1Airport                 Arpt          Arpt  Arpt        AUR                                 
   2Attention               Attn          Attn  Attn        AUR                                 
   3Avenues                 Avs           Avs   Avs         AUR                                 
   4Beach                   Bch           Bch   Bch         AUR                                 
   5Between                 Btwn          Btwn  Btwn        AUR                                 
   6Borough                 Boro          Boro  Boro        AUR                                 
   7Bridge                  Brdg          Brdg  Brdg        AUR                                 
   8Broadway                Brwy          Brwy  Brwy        AUR                                 
   9Corner                  Cor           Cor   Cor         AUR                                 
  10Court                   Ct            Ct    Ct          AUR                                 
  11Dba                     Dba           Dba   Dba         AUR                                 
  13Eight Mile              8 Mi          8 Mi  8 Mi        AUR                                 
  14Eighteeen Mile          18mi          18mi  18mi        AUR                                 
  15Eighteenth              18th          18th  18th        AUR                                 
  16Eighth                  8th           8th   8th         AUR                                 
  17Eleven Mile             11mi          11mi  11mi        AUR                                 
  18Eleventh                11th          11th  11th        AUR                                 
  19Estates                 Est           Est   Est         AUR                                 
  20Fifteen Mi              15mi          15mi  15mi        AUR                                 
  21Fifteenth               15th          15th  15th        AUR                                 
  22Fifth                   5th           5th   5th         AUR                                 
  23First                   1st           1st   1st         AUR                                 
  24Five Corners            5 Co          5 Co  5 Co        AUR                                 
  25Five Mile               5 Mi          5 Mi  5 Mi        AUR                                 
  26Five Points             5 Pt          5 Pt  5 Pt        AUR                                 
  27Five Town               5 To          5 To  5 To        AUR                                 
  28Fort                    Fort          Fort  Fort        AUR                                 
  29Four Corners            4 Co          4 Co  4 Co        AUR                                 
  30Four Flags              4 Fg          4 Fg  4 Fg        AUR                                 
  31Four Lane               4 Ln          4 Ln  4 Ln        AUR                                 
  32Four Mile               4 Mi          4 Mi  4 Mi        AUR                                 
  33Four Seasons            4 Sn          4 Sn  4 Sn        AUR                                 
  34Fourteen Mile           14mi          14mi  14mi        AUR                                 
  35Fourteenth              14th          14th  14th        AUR                                 
  36Fourth                  4th           4th   4th         AUR                                 
  37From                    From          From  From        AUR                                 
  38Front                   Frnt          Frnt  Frnt        AUR                                 
  39Garden                  Gdn           Gdn   Gdn         AUR                                 
  40Ground                  Gr            Gr    Gr          AUR                                 
  41Half                    1/2           1/2   1/2         AUR                                 
  42Heights                 Hts           Hts   Hts         AUR                                 
  43Hollow                  Hllw          Hllw  Hllw        AUR                                 
  44Hwys                    Hwys          Hwys  Hwys        AUR                                 
  45Industrial              Ind           Ind   Ind         AUR                                 
  46Interchange             Ichg          Ichg  Ichg        AUR                                 
  47International           Intl          Intl  Intl        AUR                                 
  48Intersection            Intr          Intr  Intr        AUR                                 
  49Isle                    Isle          Isle  Isle        AUR                                 
  50J F Kennedy             JFK           JFK   JFK         AUR                                 
  52L B Johnson             LBJ           LBJ   LBJ         AUR                                 
  53Lake                    Lake          Lake  Lake        AUR                                 
  54Lower                   Lowr          Lowr  Lowr        AUR                                 
  55M L King                MLK           MLK   MLK         AUR                                 
  56Medical                 Med           Med   Med         AUR                                 
  57Memorial                Mem           Mem   Mem         AUR                                 
  58Mile                    Mile          Mile  Mile        AUR                                 
  59Mount                   Mt            Mt    Mt          AUR                                 
  60Mountain                Mtn           Mtn   Mtn         AUR                                 
  61National                Natl          Natl  Natl        AUR                                 
  62Near                    Near          Near  Near        AUR                                 
  63Nine Mile               9 Mi          9 Mi  9 Mi        AUR                                 
  64Nineteen Mile           19mi          19mi  19mi        AUR                                 
  65Nineteenth              19th          19th  19th        AUR                                 
  66Ninth                   9th           9th   9th         AUR                                 
  70Office                  Ofc           Ofc   Ofc         AUR                                 
  71One Mile                1 Mi          1 Mi  1 Mi        AUR                                 
