3COM                                              05007
3M                                                04003
ABBOTT                                            11005
ABF                                               27005
ABM                                               10003
ABN AMRO                                          03001
ACE                                               17005
ACS                                               10020
ACUITY                                            19010
ADC                                               26009
ADECCO                                            10012
ADMINISTAFF                                       10020
ADVO                                              10022
AECOM                                             20003
AEROSONIC                                         01003
AETNA                                             16001
AGCO                                              19001
AIG                                               14001
AIR PRODUCTS & CHEMICALS                          04002
AIRBORNE                                          27001
AIRGAS                                            19009
ALASKA AIRLINES                                   27003
ALCOA                                             22001
ALEXANDER & BALDWIN                               27007
ALLIANT                                           01003
ALLSTATE                                          03001
ALLTEL                                            26005
AMERADA HESS                                      13001
AMEREN                                            28003
AMERICAN AIRLINES                                 27003
AMERICAN AXLE & MFG                               02002
AMERICAN FAMILY                                   25004
AMERICAN MANAGEMENT                               06012
AMERICAN POWER CONVERSION                         19015
AMERICAN SUZUKI                                   02001
AMERISOURCEBERGEN                                 11008
AMETEK                                            19015
ANALOG DEVICES                                    12012
ANIXTER                                           19009
ANTARES                                           16006
ANTHEM                                            16001
APL                                               27007
APPLIED INDUSTRIAL TECHNOLOGIES                   19009
APPLIED MATERIALS                                 12011
APW                                               12002
ARAMARK                                           18009
ARIANESPACE                                       01003
ARMSTRONG                                         20008
ARROW                                             12005
ARVINMERITOR                                      02002
ASHLAND                                           04002
ATMOS                                             28004
AVNET                                             12005
AVON                                              09007
AXA                                               17004
BANK ONE                                          03001
BANTA                                             10018
BAPTIST HEALTH SYSTEM                             16003
BARTON MALOW                                      20003
BAXTER                                            16006
BAYER                                             04002
BB&T                                              03001
BDO SEIDMAN                                       10001
BE&K                                              20003
BEAZER                                            23012
BECHTEL                                           20005
BED BATH & BEYOND                                 24010
BEERS SKANSKA                                     20003
BELK                                              24006
BELLSOUTH                                         26010
BEST BUY                                          24004
BIG LOTS                                          24007
BLACK & DECKER                                    08006
BLUE CROSS                                        16001
BLUE CROSS BLUE SHIELD                            16001
BMC                                               12003
BOEING                                            01002
BOISE CASCADE                                     19018
BOOZ ALLEN HAMILTON                               10012
BOSCOV'S                                          24006
BOWATER                                           19018 
BOWNE                                             10018
BRIGGS & STRATTON                                 19016
BRISTOL-MYERS SQUIBB                              11005
BROTHER INTERNATIONAL                             12006
BURLINGTON COAT FACTORY                           24003
BURLINGTON NORTHERN SANTA FE                      27005
BV SOLUTIONS                                      06012
CABLEVISION                                       26001
CABOT                                             04006
CADENCE                                           06010
CAMPBELL                                          22006
CAPITAL BLUE CROSS                                17001
CAPITAL ONE                                       03001
CARDINAL HEALTH                                   11008
CAREGROUP                                         16010
CARLSON                                           18011
CAROLINA                                          27005
CATHOLIC HEALTHCARE WEST                          16003
CDI                                               10020
CDW                                               25002
CELLSTAR                                          12005
CENDANT                                           10004
CENTEX                                            23012
CHAMBERLAIN                                       19002
CHARTER ONE                                       03001
CHEVRONTEXACO                                     13001
CHUBB & SON                                       17004
CIGNA                                             16001
CINCINNATI FINANCIAL                              17004
CINGULAR                                          26010
CINTAS                                            19021
CISCO                                             05007
CIT                                               14001
CITIGROUP                                         14008
CLARK RETAIL                                      18011
CLAYTON                                           20007
CLUBCORP                                          18010
CMS                                               28003
COLGATE-PALMOLIVE                                 09007
COCA COLA                                         15007
COMARK                                            06002
COMPUCOM                                          06012
COMPUTER ASSOCIATES                               06002
CONEXANT                                          12011
CONSOLIDATED FREIGHTWAYS                          27005
CONSTELLATION                                     15008
CONTINENTAL AIRLINES                              27003
CONVERIUM                                         17006
CON-WAY                                           27005
COOPER                                            19015
COOPER TIRE & RUBBER                              02002
COORS                                             15005
CORPORATE EXPRESS                                 08008
CORPORATE GRAPHICS                                19018
COUNTRYWIDE CREDIT                                14005
COX                                               26005
CRACKER BARREL                                    24009
CSX                                               27005
CUMMINS                                           19002
CUNA                                              03001
CVS                                               24009
DR HORTON                                         23012
DADE BEHRING                                      17001
DAIMLERCHRYSLER                                   02001
DARDEN                                            18008
DAY & ZIMMERMAN                                   10012
DEERE                                             02008
DELAWARE NORTH                                    10016
DELL                                              05008
DELPHI                                            12006
DELTA                                             27003
DELUXE                                            14011
DHL                                               27001
DIAL                                              24009
DIMON                                             24009
DO IT BEST                                        19007
DOMINO'S                                          18008
DOT FOODS                                         15004
DOW CHEMICAL                                      04006
DOW JONES                                         14011
DPR                                               23004
DR PEPPER/SEVEN UP                                15007
DUKE                                              28002
DUPONT                                            04006
DYNCORP                                           10016
DYNEGY                                            04006
E*TRADE                                           14005
E&J GALLO                                         15008
EARTHLINK                                         06013
EASTMAN CHEMICAL                                  04006
EASTMAN KODAK                                     08009
EATON                                             19008     
EDISON                                            28003
ELECTRONIC ARTS                                   06011
ELECTRONIC DATA SYSTEMS                           10020
ELI LILLY                                         11002
EMC                                               05002
EMCOR                                             10003
EMERSON                                           10003
ENGELHARD                                         04003
ENTERGY                                           28003
EPIX                                              10012
EQUIFAX                                           03001
EQUITABLE RESOURCES                               28001
EQUITY OFFICE                                     23002
ERNST & YOUNG                                     06012
EXPRESS SCRIPTS                                   16008
FAIRCHILD                                         12011
FAIRVIEW                                          16003
FARMERS                                           17002
FEDERAL-MOGUL                                     02002
FEDEX                                             27001
FERGUSON                                          27005
FIDELITY                                          14005
FIFTH THIRD                                       03001     
FLEETWOOD                                         23012     
FLORIDA POWER & LIGHT                             28003     
FLOWSERVE                                         19004     
FLYING J                                          18006
FMC                                               04005     
FOOTSTAR                                          24006
FOREMOST                                          15010     
FOSTER WHEELER                                    10016
FREDDIE MAC                                       14001
GANNETT                                           21001
GATEWAY                                           05008     
GATX                                              14007
GENCORP                                           01002     
GENERAL ELECTRIC                                  01002     
GENERAL MILLS                                     15017     
GENERAL MOTORS                                    02001     
GENUINE PARTS                                     02002     
GEORGIA-PACIFIC                                   22001
GEVITY                                            10020     
GILBANE                                           20007     
GLOBAL CROSSING                                   26008     
GOLDMAN SACHS                                     14001     
GOODYEAR                                          02002     
GRANITE                                           20007     
GRISTEDE'S                                        24006 
GUARDIAN                                          17003     
H&R BLOCK                                         14008     
HJ HEINZ                                          15013     
HALLIBURTON                                       10016     
HANDLEMAN                                         21007     
HARLEY-DAVIDSON                                   02003     
HARRAH'S                                          18002     
HARRIS                                            26011     
HARSCO                                            19014     
HARTFORD                                          17004     
HAWORTH                                           08008     
HCR MANOR                                         16010     
HEALTH ALLIANCE PLAN                              17001     
HENRY SCHEIN                                      16006     
HERSHEY                                           15013          
HEWITT                                            16010     
HILTON                                            18005     
HIP                                               17001     
HON                                               08008     
HONEYWELL                                         01002     
HORIZON BLUE CROSS BLUE SHIELD                    16001     
HOUSEHOLD                                         14004     
HUMANA                                            16001
HUNTINGTON NATIONAL BANK                          03001     
IBM                                               05003     
ICC                                               04003     
ILLINOIS TOOL WORKS                               19007     
IMATION                                           05002     
IMC                                               04001     
IMPERIAL SUGAR                                    15019     
INGERSOLL-RAND                                    19003     
INGRAM                                            12006     
INTEL                                             12012     
INTERNATIONAL GAME                                08012     
INTERNATIONAL PAPER                               19018     
INTERNATIONAL TRUCK AND ENGINE                    02008     
INTUIT                                            10016     
ISPAT INLAND                                      19013     
ITT CANNON                                        05007     
JP MORGAN CHASE                                   14005     
