ACADEMIES           0                   10006
ACADEMY             0                   10006  10009
ACCEPTANCE          0                   14004  14009
ACCESS              0                   26004
ACCESSORIES         0                   02002  09002
ACCIDENT            0                   17001
ACCIDENT INSURANCE  0                   17001
ACCOUNTANCY         0                   10001
ACCOUNTANT          0                   10001
ACCOUNTANTS         0                   10001
ACCOUNTING          0                   10001
ACTIVEWEAR          0                   09001
ADVERTISEMENT       0                   10002
ADVERTISEMENTS      0                   10002
ADVERTISING         0                   10002
AERONAUTIC          0                   01001  01002  01003
AEROSPACE           0                   01001  01002  01003
AIR                 0                   19019  27001  27002  27003
AIR CRAFT           AIRCRAFT            01001  01002  01003
AIRCRAFT            0                   01001  01002  01003
AIRLINE             0                   27003
AIRLINES            0                   27003
AIRPORT             0                   27002
AIRPORTS            0                   27002
AIRWAYS             0                   27003
ALLOY               0                   22008
ALLOYS              0                   22008
ALUMINIUM           0                   19013  22001
ALUMINUM            ALUMINIUM           19013  22001
ANALYST             0                   10013
ANIMATION           0                   21006
APPAREL             0                   09001
APPARELS            0                   09001
APPLIANCE           0                   08001
APPLIANCES          0                   08001
ARCHERY             0                   08011
ARCHITECT           0                   20003
ARCHITECTS          0                   20003
ASSET               0                   14001
ASSICURAZIONI       0                   17004
ASSOCIATION         0                   10015
ASSURANCE           0                   17003  17004
ATTORNEY            0                   10011
AUTO                0                   02001  02002  18007  24001  25001
AUTO RACING         0                   18007
AUTOMATION          0                   19008
AUTOMOBILE          0                   02001
AUTOMOTIVE          0                   02001  02002  24001  25001
AVIATION            0                   01001  01002  01003  27002
AXLE                0                   02002
BAKERIES            0                   15015
BAKERS              0                   15015
BAKERY              0                   15015
BAKING              0                   15015
BANC                0                   03001
BANCA               0                   03001
BANCO               0                   03001
BANCORP             0                   03001
BANCSHARE           BANKSHARE           03001
BANCSHARES          BANKSHARES          03001
BANK                0                   03001
BANKS               0                   03001
BANKSHARE           0                   03001
BANKSHARES          0                   03001
BAR                 0                   18008
BARS                0                   18008
BASEBALL            0                   18007  18010
BASKETBALL          0                   18007  18010
BATTERIES           0                   19015
BATTERY             0                   19015
BEAUTY              0                   24008
BEEF                0                   15016
BEVERAGE            0                   15004  15007
BEVERAGES           0                   15004  15007
BICYCLE             0                   08011  08011
BIO                 0                   11001-11009
BIOINFORMATICS      0                   11001-11009
BIOMEDICAL          0                   11001-11009
BIOPHARMA           0                   11001-11009
BIOSCIENCE          0                   11001-11009
BIOSCIENCES         BIOSCIENCE          11001-11009
BIOTECHNOLOGIES     BIOTECHNOLOGY       11001-11009
BIOTECHNOLOGY       0                   11001-11009
BOAT                0                   02004  02007
BOATS               0                   02004  02007
BOOK KEEPING        0                   10001
BOOK SHOP           BOOKSHOP            25006
BOOK STORE          BOOKSTORE           25006
BOOK WORLD          BOOKWORLD           25006
BOOKKEEPING         0                   10001
BOOKS               0                   25006
BOOKSELLER          0                   25006
BOOKSHOP            0                   25006
BOOKSTORE           0                   25006
BOOKSTORES          0                   25006
BOOKWORLD           0                   25006
BOTTLERS            0                   15004
BOTTLING            0                   15004
BOWLING             0                   18010
BREAD               0                   15015
BREADS              0                   15015
BREWERIES           0                   15005
BREWERS             0                   15005
BREWERY             0                   15005
BREWING             0                   15005
BROADBAND           0                   16004
BROADCAST           0                   11012  21014
BROADCASTING        0                   11012  21014
BROKER              0                   14005  17002
BROKERAGE           0                   14005  23001
BROKERS             0                   14005  17002
BUILD               0                   10002  20008
BUILDER             0                   14002
BUILDERS            0                   10002  20003  20005  23012  24002
BUILDING            0                   19008  20002  20008  24002
BURGER              0                   18008
BURGERS             0                   18008
BUSINESS SERVICES   0                   10016
BUSINESS SYSTEM     0                   06001-06019
BUTTER              0                   15010
CAB                 0                   17004
CABLE               0                   19023  26001
CABLING             0                   19023
CABS                0                   17004
CALL CENTER         0                   10022
CALL CENTRE         CALL CENTER         10022
CAMERA              0                   08009
CANDIES             0                   15019
CANDY               0                   15019
CAPITAL             0                   03001  14001  14003  14005  14006  14008  14009  14012
CAPITAL MANAGEMENT  0                   14001
CAR                 0                   02001  25001
CARBIDE             0                   19015
CARBON              0                   04002  04003  04005  04006  22002
CARDIO              0                   16005
CAREER              0                   10009
CARGO               0                   17001
CARS                0                   02001  25001
CASINO              0                   18002  18004
CASINOS             0                   18002  18004
CAST                0                   12010
CASTING             0                   19013
CASTINGS            0                   19013
CASUALTY            0                   17005
CELLULAR            0                   16010
CELULAR             CELLULAR            16010
CELULOSE            0                   19018
CEMENT              0                   10001
CERAMIC             0                   10002  20008
CHARITABLE          0                   10005
CHARITIES           0                   10005
CHARITY             0                   10005
CHEESE              0                   15010
CHEF                0                   19005
CHEMICAL            CHEMICALS           04001-04006
CHEMICALS           0                   04001-04006
CHILD CARE          CHILD CARE          10006
CHILDCARE           0                   10006
CHILDRENS WEAR      CHILDRENSWEAR       09001
CHILDRENSWEAR       0                   09001
CHLD CARE           0                   10006
CHLDCARE            CHILD CARE          10006
CHOCOLATE           0                   15019
CIGAR               0                   15020
CINEMA              0                   21005
CINEMAS             0                   21005
CIRCUIT             0                   12001-12012
CLIMATE             0                   10009
CLOCK               0                   08005
CLOCKS              0                   08005
COACH               0                   02008
COAL                0                   12002
COAT                COATING             04004
COATING             0                   04004
COATINGS            0                   04004
COFFEE              0                   18009
COLLECTING          0                   10001
COLLECTION          0                   10001
COLLEGE             0                   10007  10009
COLLEGES            0                   10007  10009
COMMERCE            0                   03001
COMMERCIAL          0                   14003
COMMUNICATION       0                   06001  21009  21011  21012  26005  26006  26008
COMMUNICATIONS      COMMUNICATION       06001  10002  10014  10022  21003  21009  21011  21012  21013  21014  26001  26002 26005  26006  26008  26009  26010  26011
COMMUNITIES         0                   13003
COMPONENT           0                   05001-05008  12001  12002  12003  12006  12008-12012  19011
COMPONENTS          0                   05001-05008
COMPREHENSIVE       0                   16010
COMPUTER            0                   05001-05008  25002
COMPUTERS           0                   05001-05008  25002
COMPUTING           0                   05001-05008  06001-06019
CONCRETE            0                   10001
CONFECTIONERY       0                   15019
CONFECTIONS         0                   15019
CONSTRUCTION        0                   10001  20005  20008  23003  23012
CONSTRUCTIONS       CONSTRUCTION        10003  20005  23003
CONSTRUCTORS        0                   10003  20005
CONSULTANT          0                   06012  10012
CONSULTANTS         0                   06012  10012
CONSULTING          0                   06012  10012
CONSUMER            0                   14004
CONTAINER           0                   19017
CONTRACTING         0                   10010
CONTRACTORS         0                   10010
CONTROL             0                   10009
CONVENIENCE         0                   14005
CONVEYOR            0                   19012
COOPERATIVE         0                   15001  15002
COPPER              0                   12003
COSMETIC            0                   14008
COSMETICS           COSMETIC            09007  24008
CREDIT              0                   03001  14003  14004  14005  14009
CREDIT UNION        0                   14004
CRUISES             0                   18011
DAIRIES             0                   15010
DAIRY               0                   15010
DATA SYSTEMS        0                   05001-05008
DATASYSTEMS         0                   05001-05008
DECOR               0                   08003
DECORATIVE          0                   08003
DEFENCE             0                   01001  01002  01003
DEFENSE             0                   01001  01002  01003
DEMOLITION          0                   10003  20005
DENTAL              0                   16008
DEPARTMENT          0                   14006
DEPARTMENTAL        0                   14006
DESKTOP             0                   06001-06019
DEVELOPERS          0                   10003  20005  23003  23012
DEVELOPMENT         0                   10005  23003  23012
DIAGNOSTIC          0                   16005
DIAGNOSTICS         DIAGNOSTIC          11003  16005
DIAMOND             0                   12004
DIAMONDS            DIAMOND             12004
DIESEL              0                   02002
DIGITAL             0                   05001-05008  21006
DINER               RESTAURANT          18008
DINERS              RESTAURANTS         18008
DISTILLERIES        0                   15006
DISTILLERS          0                   15006
DISTRIBUTING        DISTRIBUTION        06002  13007  15004  19005  27005
