ABDELHAFID|HAFID
ABDELHAKIM|HAKIM
ABDELHALIM|HALIM
ABDELHAMID|HAMID
ABDELKADER|KADER
ABDELKARIM|KARIM
ABDELKRIM|KARIM
ABDELLAH|ABDALLAH
ABDELMAJID|MAJID
ABDELMALEK|MALIK
ABDELMALIK|MALIK
ABDOULAYE|ABDEL
ABDOUL|ABDEL
ABDOU|ABDEL
ABDULLAH|ABDALLAH
ABD|ABDEL
ABIGAIL|ABIGAEL
ADELIA|ADELIE
ADELINA|ADELINE
ADEM|ADAM
ADIL|ADEL
ADRIANA|ADRIANE
ADRIANO|ADRIEN
ADRIAN|ADRIEN
ADRIENNE|ADRIANE
AHLAM|AHLEM
AHMET|AHMED
AIMERIC|EMERIC
AISSATOU|AISSATA
AISSA|ISSA
AKIM|HAKIM
ALAN|ALAIN
ALBERTO|ALBERT
ALBIN|ALBAN
ALEC|ALEXANDRE
ALEKSANDAR|ALEXANDRE
ALESSANDRO|ALEXANDRE
ALEXANDER|ALEXANDRE
ALEXANDRINE|ALEXIA
ALEXANE|ALEXIA
ALEXA|ALEXIA
ALEXIANE|ALEXIA
ALEXIE|ALEXIA
ALEXINE|ALEXIA
ALEXIS|ALEXANDRE
ALEXI|ALEXANDRE
ALEXY|ALEXANDRE
ALEX|ALEXANDRE
ALICIA|ALICE
ALIENOR|ELEONORE
ALIMA|HALIMA
ALINA|ALINE
ALISSA|ALICE
ALISSIA|ALICE
ALISSON|ALISON
ALIX|ALEXANDRE
ALIX|ALICE
ALIZE|ALIZEE
ALLAN|ALAIN
ALLISON|ALISON
ALLISSON|ALISON
ALLYSON|ALISON
ALYCIA|ALICE
ALYSON|ALISON
ALYSSA|ALICE
ALYSSIA|ALICE
ALYSSON|ALISON
AMADOU|AHMED
AMALE|AMEL
AMALIA|AMELIE
AMAL|AMEL
AMBRINE|AMBRE
AMELE|AMEL
AMELIA|AMELIE
AMELINE|AMELIE
AMELLE|AMEL
AMIN|AMINE
ANABELLE|ANNABELLE
ANA|ANNE
ANDY|ANDRE
ANGELA|ANGELE
ANGELICA|ANGELIQUE
ANGELINA|ANGELE
ANGELINE|ANGELE
ANNABEL|ANNABELLE
ANNAELLE|ANAELLE
ANNA|ANNE
ANTONIN|ANTHONY
ANTONY|ANTHONY
ASTRIDE|ASTRID
AURELIA|AURELIE
AYMERIC|EMERIC
BACHRA|BOUCHRA
BADER|BADR
BADRE|BADR
BAKARI|BAKARY
BAPTISTIN|BATISTE
BASIL|BASILE
BASTIAN|SEBASTIEN
BASTIEN|SEBASTIEN
BEATRIX|BEATRICE
BEATRIZ|BEATRICE
BECHIR|BACHIR
BELAL|BILAL
BELGACEM|BELKACEM
BELLAL|BILAL
BELLINDA|BELINDA
BENOIST|BENOIT
BEN|BENJAMIN
BERENGER|BERANGER
BERT|BERTRAND
BESMA|BASMA
BETINA|BETTINA
BETTY|ELISABETH
BEYA|BAYA
BILALE|BILAL
BILALY|BILAL
BILELE|BILAL
BILEL|BILAL
BILLALE|BILAL
BILLAL|BILAL
BILLEL|BILAL
BILLY|WILLIAM
BINTOU|BINTA
BOBBY|ROBERT
BOB|ROBERT
BOCHRA|BOUCHRA
BOUCHERA|BOUCHRA
BRAHIM|IBRAHIM
BRENDAN|BRANDON
BRIAN|BRYAN
BRIEUC|BRIAC
BRITANIE|BRITTANY
BRITANNY|BRITTANY
BRITANY|BRITTANY
BRITHANY|BRITTANY
BRITNEY|BRITTANY
CAMAL|KAMEL
CAMILIA|CAMELIA
CAMILLA|CAMELIA
CAMILO|CAMILLE
CAMIL|CAMILLE
CANDIE|CANDY
CANELLE|CANNELLE
CARINA|CARINE
CARLO|CARLOS
CARL|CHARLES
CAROLANE|CAROLINE
CAROLINA|CAROLINE
CAROL|CAROLE
CASSANDRE|CASSANDRA
CATHIA|CATHY
CATHIE|CATHY
CATIA|CATHY
CECILIA|CECILE
CEDRICK|CEDRIC
CEDRIK|CEDRIC
CELESTE|CELESTIN
CELIM|SELIM
CELINA|CELINE
CENDRINE|SANDRINE
CHANTALE|CHANTAL
CHARLES-HENRY|CHARLES-HENRI
CHARLEY|CHARLES
CHARLIE|CHARLES
CHARLINE|CHARLENE
CHARLI|CHARLES
CHARLY|CHARLES
CHAWKI|CHAOUKI
CHERIF|CHAFIK
CHRISTELE|CHRISTELLE
CHRISTEL|CHRISTELLE
CHRISTOPHER|CHRISTOPHE
CHRIS|CHRISTIAN
CHRYSTELE|CHRISTELLE
CHRYSTELLE|CHRISTELLE
CHRYSTEL|CHRISTELLE
CINTHIA|CYNTHIA
CLAUDIO|CLAUDE
CLOE|CHLOE
COLAS|NICOLAS
COLEEN|COLINE
COLYNE|COLINE
CONSTANTIN|CONSTANT
CORALY|CORALIE
CORINE|CORINNE
CYRIL|CYRILLE
DAHLIA|DALIA
DALHIA|DALIA
DANIELA|DANIELLE
DANIELE|DANIELLE
DANIELLA|DANIELLE
DANI|DANIEL
DANNY|DANIEL
DANN|DANIEL
DANY|DANIEL
DAN|DANIEL
DAOUDA|DAVID
DAPHNEE|DAPHNE
DARINA|DORINE
DARINE|DORINE
DAVE|DAVID
DAVIDE|DAVID
DAVY|DAVID
DEBORA|DEBORAH
DELIA|DALIA
DENIZ|DENIS
DENIZ|DENISE
DENNIS|DENIS
DENNYS|DENIS
DENYS|DENIS
DIANA|DIANE
DILANE|DYLAN
DILAN|DYLAN
DILHAN|DYLAN
DIMITRY|DIMITRI
DINO|DENIS
DIOGO|DIEGO
DJAMAL|DJAMEL
DJEMEL|DJAMEL
DJEMILA|DJAMILA
DJIMMY|JIMMY
DJIMY|JIMMY
DJINO|LUIGI
DOLLY|DOLORES
DONIA|DOUNIA
DORIANNE|DORIANE
DORYAN|DORIAN
EDA|AIDA
EDDIE|EDOUARD
EDDY|EDOUARD
EDEM|ADAM
EDGAR|EDGARD
EDUARDO|EDOUARD
EDWARD|EDOUARD
EDWIN|EDOUARD
ELAINE|HELENE
ELAURA|ELEONORE
ELEANA|HELENE
ELEANORE|ELEONORE
ELEANOR|ELEONORE
ELENA|HELENE
ELEN|HELENE
ELEONORA|ELEONORE
ELEONOR|ELEONORE
ELIAZ|ELIAS
ELIA|ALIA
ELIA|ELIE
ELIESSE|ELIAS
ELIES|ELIAS
ELINA|HELENE
ELINE|HELENE
ELINOR|ELEONORE
ELIOTT|ELIOT
ELIO|ELIAS
ELISABETE|ELISABETH
ELISA|ELISABETH
ELISE|ELISABETH
ELISSA|ELISABETH
ELIZABETH|ELISABETH
ELIZA|ELISABETH
ELI|ELIE
ELLEN|HELENE
ELLIOTT|ELIOT
ELLIOT|ELIOT
ELODY|ELODIE
ELSA|ELISABETH
ELYASSE|ELIAS
ELYASS|ELIAS
ELYAS|ELIAS
ELYESSE|ELIAS
ELYESS|ELIAS
ELYES|ELIAS
EL|ELIE
EMANUEL|EMMANUEL
EMERICK|EMERIC
EMILIANO|EMILE
EMILIAN|EMILE
EMILIEN|EMILE
EMIL|EMILE
EMIN|AMINE
EMIR|AMIR
ENRICO|ENRIQUE
ERICKA|ERIKA
ERICK|ERIC
ERIK|ERIC
ERWANN|ERWAN
EVE|EVA
EWAN|EVAN
EWEN|EVAN
EYMERIC|EMERIC
FABIAN|FABIEN
FABIO|FABIEN
FADELA|FADILA
FAICAL|FAYCAL
FANETTE|FANNY
FANIE|FANNY
FANNIE|FANNY
FANY|FANNY
FAOUZIA|FOUZIA
FARA|FARAH
FARIZA|FARIDA
FARRAH|FARAH
FATAH|FATIH
FATHI|FATIH
FATIA|FATIHA
FATIMA-ZAHRA|FATIMA-ZOHRA
FATIMATA|FATOUMATA
FATMATA|FATOUMATA
FELICIA|FELICIE
FELICIEN|FELIX
FELIPE|PHILIPPE
FERDINAND|FERNAND
FERNANDO|FERNAND
FETHI|FATIH
FEYZA|FAIZA
FILIPE|PHILIPPE
FLAVIAN|FLAVIEN
FLAVIO|FLAVIEN
FLEURINE|FLORA
FLEUR|FLORA
FLORE|FLORA
FLORIANNE|FLORA
FLORIENT|FLORIAN
FOUED|FOUAD
