  11Alley                   Alley         Al    Aly A       TYRU
  12Alternate Route         Alt Rte       Alt   Alt A       TYR                                 
  15Arcade                  Arcade        Arc   Arc A       TYRU                                
  16Arroyo                  Arroyo        Arryo ArryHA      TYR                                 
  17Autopista               Atpta         Apta  AptaA       TYR                                 
  18Avenida                 Avenida       Ava   Ava A       TYR                                 
  19Avenue                  Avenue        Ave   Ave A       TYRU                                
  26Boulevard               Blvd          Blvd  BlvdA       TYRU                                
  32Bulevar                 Blvr          Blv   Blv A       TYR                                 
  33Business Route          Bus Rte       BusRt BsRtA       TYR                                 
  34Bypass                  Bypass        Byp   Byp A       TYRU                                
  36Calle                   Calle         Calle ClleA       TYR                                 
  37Calleja                 Calleja       Cja   Cja A       TYR                                 
  38Callejon                Callej        Cjon  CjonA       TYR                                 
  39Camino                  Camino        Cam   Cam A       TYR                                 
  47Carretera               Carrt         Carr  CarrA       TYR                                 
  48Causeway                Cswy          Cswy  CswyAH      TYRU  
  49Harbor                  Hbr           Hbr   Hbr A       TY  
  50Summit                  Smt           Smt   Smt A       TY
  51Center                  Center        Ctr   Ctr DA      TYRU                                
  56Circle                  Circle        Cir   Cir A       TYRU                                
  57Circulo                 Circ          Cir   Cir AD      TYR                                 
  67County Highway          County Hwy    CoHwy CoRdA       TYR                                 
  69County Road             County Rd     CoRd  CoRdA       TYR                                 
  70County Route            County Rte    CoRte CoRdA       TYR                                 
  71Court                   Court         Ct    Ct  DA      TYRU                                
  73Cove                    Cove          Cv    Cv  AH      TYRU                                
  76Crescent                Cres          Cres  CresA       TYRU                                
  77Crossing                Xing          Xing  XingA       TYRU                                
  78Cruce                   Cruce         Cru   Cru A       TYR                                 
  87Drive                   Drive         Dr    Dr  A       TYRU                                
  93Expreso                 Expo          Exp   Exp A       TYR                                 
  94Expressway              Exwy          Expy  ExpyA       TYRU                                
  99Farm-to-market Road     F-M Rd        FM    FM  A       TYR                                 
 110Four-wheel Drive Trail  4wd Trl       4wd   4wd A       TYR                                 
 112Freeway                 Frwy          Fwy   Fwy A       TYRU                                
 122Highway                 Hwy           Hwy   Hwy A       TYRU                                
 133Interstate Highway      I-            I-    I-  A       TYR                                 
 138Jeep Trail              Jeep Trl      JpTrl JpTrA       TYR                                 
 146Lane                    Lane          Ln    Ln  A       TYRU                                
 151Loop                    Loop          Lp    LoopA       TYRU                                
 154Marginal                Marg          Marg  MargA       TYR                                 
 164Motorway                Mtwy          Mtwy  MtwyA       TYR                                 
 167Muro                    Muro          Mro   Mro AE      TYR                                 
 178Overpass                Ovps          Ovps  OvpsA       TYR                                 
 179Park                    Park          Park  ParkAD      TYRU                                
 180Parkway                 Pkwy          Pkwy  Pky A       TYRU                                
 182Pasaje                  Pasaje        Pas   Pas A       TYR                                 
 183Paseo                   Paseo         Pso   Pso A       TYR                                 
 185Pass                    Pass          Ps    PassHA      TYRU                                
 187Path                    Path          Path  PathA       TYRU                                
 189Pike                    Pike          Pke   PikeA       TYRU                                
 191Pista                   Pista         Psta  PstaA       TYR                                 
 192Place                   Place         Pl    Pl  A       TYRU                                
 193Plaza                   Plaza         Plz   Plz DA      TYRU                                
 202Puente                  Puente        Pte   Pte AB      TYR                                 
 208Ramal                   Ramal         Rml   Rml A       TYR                                 
 209Ramp                    Ramp          Rmp   Rmp A       TYR                                 
 210Rampa                   Rampa         Rmp   Rmp A       TYR                                 
 223Road                    Road          Rd    RoadA       TYRU                                
 227Route                   Route         Rt    Rt  A       TYR                                 
 228Row                     Row           Row   Row A       TYRU                                
 229Rue                     Rue           Rue   Rue A       TYR                                 
 230Run                     Run           Run   Run A       TYRU                                
 232Ruta                    Ruta          Ruta  RutaA       TYR                                 
 239Sendero                 Sndr          Sndr  SndrA       TYR                                 
 240Service Road            Srv Rd        SrvRd SvRdA       TYR                                 
 248Skyway                  Skwy          Skwy  SkwyA       TYR                                 
 253Speedway                Spdwy         Spdwy SpwyA       TYR                                 
 256Square                  Square        Sq    Sq  AD      TYRU                                
 257State Highway           State Hwy     StHwy StHyA       TYR                                 
 258State Road              State Rd      StRd  StHyA       TYR                                 
 259State Route             State Rte     StRt  StHyA       TYR                                 
 263Street                  Street        St    St  A       TYRU                                
 268Terrace                 Ter           Ter   Ter AD      TYRU                                
 269Thoroughfare            Thoro         Thfr  ThfrHA      TYR                                 
 270Throughway              Thwy          Thwy  ThwyA       TYR                                 
 272Township Highway        Twp Hwy       TwpHy TwHyA       TYR                                 
 273Township Road           Twp Rd        TwpRd TwHyA       TYR                                 
 274Trafficway              Tfwy          Tfwy  TfwyA       TYR                                 
 275Trail                   Trail         Trl   Trl A       TYR                                 
 278Tunel                   Tunel         Tun   Tun AB      TYR                                 
 279Tunnel                  Tunnel        Tunl  TunlAB      TYRU                                
 280Turnpike                Tpke          Tpke  TpkeA       TYRU                                
 281Underpass               Unps          Unps  UnpsA       TYR                                 
 282United States Highway   US Hwy        USHwy USHyA       TYR                                 
 283United States Route     US Rte        USRte USHyA       TYR                                 
 286Unnamed Road            Un Rd         UnRd  UnRdA       TYR                                 
 288Vereda                  Vereda        Vrda  VrdaA       TYR                                 
 289Via                     Via           Via   Via A       TYR                                 
 291Walk                    Walk          Wk    WalkA       TYRU                                
 292Walkway                 Wlkwy         Wkwy  WkwyA       TYR                                 
 293Wall                    Wall          Wl    WallEA      TYR                                 
 296Way                     Way           Wy    Way A       TYRU                                
 302Natl Forest Develop RoadNFD           NFD   NFD A       TYR                                 
 303Oval                    Oval          Oval  OvalEA      TYR                                 
 304Estates                 Est           Est   Est         TYR                                 
 305Villa                   Vlla          Vlla  Vlla        TYR                                 
 306Driveway                Drwy          Drwy  Drwy        TYR                                 
 307Roadway                 Rdwy          Rdwy  Rdwy        TYR                                 
 308Stravenue               Stra          Stra  Stra        TYR                                 
 309Club                    Club          Club  ClubA       TYR                                 
 310Courts                  Cts           Cts   Cts A       TYR                                 
 311Junction                Jct           Jct   Jct A       TYR                                 
 312Landing                 Lndg          Lndg  LndgA       TYR                                 
 313Lodge                   Ldge          Ldge  LdgeA       TYR                                 
 314Mall                    Mall          Mall  MallA       TYR                                 
 315Manor                   Mnr           Mnr   Mnr A       TYR                                 
 316Station                 Sta           Sta   Sta A       TYR                                 
 317Village                 Vlg           Vlg   Vlg A       TYR                                 
 318Corners                 Cors          Cors  CorsA       TYR                                 
 319Common                  Comn          Comn  ComnA       TYR                                 
 320Parish Road             Parish Road   ParRd PrRdA       TYR                                 
 321EMS                     EMS           EMS   EMS A       TYR  
 326Grove                   Grv           Grv   Grv         TYR                                
   1And                     &             &     &           AMR                                 
   1Airport                 Arpt          Arpt  Arpt        AUR                                 
   2Attention               Attn          Attn  Attn        AUR                                 
   3Avenues                 Avs           Avs   Avs         AUR                                 
   4Beach                   Bch           Bch   Bch         AUR                                 
   5Between                 Btwn          Btwn  Btwn        AUR                                 
   6Borough                 Boro          Boro  Boro        AUR                                 
   7Bridge                  Brdg          Brdg  Brdg        AUR                                 
   8Broadway                Brwy          Brwy  Brwy        AUR                                 
   9Corner                  Cor           Cor   Cor         AUR                                 
  10Court                   Ct            Ct    Ct          AUR                                 
  11Dba                     Dba           Dba   Dba         AUR                                 
  13Eight Mile              8 Mi          8 Mi  8 Mi        AUR                                 
  14Eighteeen Mile          18mi          18mi  18mi        AUR                                 
  15Eighteenth              18th          18th  18th        AUR                                 
  16Eighth                  8th           8th   8th         AUR                                 
  17Eleven Mile             11mi          11mi  11mi        AUR                                 
  18Eleventh                11th          11th  11th        AUR                                 
  19Estates                 Est           Est   Est         AUR                                 
  20Fifteen Mi              15mi          15mi  15mi        AUR                                 
  21Fifteenth               15th          15th  15th        AUR                                 
  22Fifth                   5th           5th   5th         AUR                                 
  23First                   1st           1st   1st         AUR                                 
  24Five Corners            5 Co          5 Co  5 Co        AUR                                 
  25Five Mile               5 Mi          5 Mi  5 Mi        AUR                                 
  26Five Points             5 Pt          5 Pt  5 Pt        AUR                                 
  27Five Town               5 To          5 To  5 To        AUR                                 
  28Fort                    Fort          Fort  Fort        AUR                                 
  29Four Corners            4 Co          4 Co  4 Co        AUR                                 
  30Four Flags              4 Fg          4 Fg  4 Fg        AUR                                 
  31Four Lane               4 Ln          4 Ln  4 Ln        AUR                                 
  32Four Mile               4 Mi          4 Mi  4 Mi        AUR                                 
  33Four Seasons            4 Sn          4 Sn  4 Sn        AUR                                 
  34Fourteen Mile           14mi          14mi  14mi        AUR                                 
  35Fourteenth              14th          14th  14th        AUR                                 
  36Fourth                  4th           4th   4th         AUR                                 
  37From                    From          From  From        AUR                                 
  38Front                   Frnt          Frnt  Frnt        AUR                                 
  39Garden                  Gdn           Gdn   Gdn         AUR                                 
  40Ground                  Gr            Gr    Gr          AUR                                 
  41Half                    1/2           1/2   1/2         AUR                                 
  42Heights                 Hts           Hts   Hts         AUR                                 
  43Hollow                  Hllw          Hllw  Hllw        AUR                                 
  44Hwys                    Hwys          Hwys  Hwys        AUR                                 
  45Industrial              Ind           Ind   Ind         AUR                                 
  46Interchange             Ichg          Ichg  Ichg        AUR                                 
  47International           Intl          Intl  Intl        AUR                                 
  48Intersection            Intr          Intr  Intr        AUR                                 
  49Isle                    Isle          Isle  Isle        AUR                                 
  50J F Kennedy             JFK           JFK   JFK         AUR                                 
  52L B Johnson             LBJ           LBJ   LBJ         AUR                                 
  53Lake                    Lake          Lake  Lake        AUR                                 
  54Lower                   Lowr          Lowr  Lowr        AUR                                 
  55M L King                MLK           MLK   MLK         AUR                                 
  56Medical                 Med           Med   Med         AUR                                 
  57Memorial                Mem           Mem   Mem         AUR                                 
  58Mile                    Mile          Mile  Mile        AUR                                 
  59Mount                   Mt            Mt    Mt          AUR                                 
  60Mountain                Mtn           Mtn   Mtn         AUR                                 
  61National                Natl          Natl  Natl        AUR                                 
  62Near                    Near          Near  Near        AUR                                 
  63Nine Mile               9 Mi          9 Mi  9 Mi        AUR                                 
  64Nineteen Mile           19mi          19mi  19mi        AUR                                 
  65Nineteenth              19th          19th  19th        AUR                                 
  66Ninth                   9th           9th   9th         AUR                                 
  70Office                  Ofc           Ofc   Ofc         AUR                                 
  71One Mile                1 Mi          1 Mi  1 Mi        AUR                                 
  72Outside Of              Outs          Outs  Outs        AUR                                 
  73Paradero                Pda           Pda   Pda         AUR                                 
  74Park                    Park          Park  Park        AUR                                 
  75Plains                  Plns          Plns  Plns        AUR                                 
  76Point                   Pt            Pt    Pt          AUR                                 
  77Professional            Prof          Prof  Prof        AUR                                 
  78Roads                   Rds           Rds   Rds         AUR                                 
  79Saint                   St            St    St          AUR                                 
  80Second                  2nd           2nd   2nd         AUR                                 
  81Seven Corners           7 Co          7 Co  7 Co        AUR                                 
  82Seven Mile              7 Mi          7 Mi  7 Mi        AUR                                 
  83Seventeen Mile          17mi          17mi  17mi        AUR                                 
  84Seventeenth             17th          17th  17th        AUR                                 
  85Seventh                 7th           7th   7th         AUR                                 
  86Six Flags               6 Fg          6 Fg  6 Fg        AUR                                 
  87Six Mile                6 Mi          6 Mi  6 Mi        AUR                                 
  88Sixteen Mile            16mi          16mi  16mi        AUR                                 
  89Sixteenth               16th          16th  16th        AUR                                 
  90Sixth                   6th           6th   6th         AUR                                 
  95Spring                  Spr           Spr   Spr         AUR                                 
  96Streets                 Sts           Sts   Sts         AUR                                 
  98Ten Mile                10mi          10mi  10mi        AUR                                 
  99Tenth                   10th          10th  10th        AUR                                 
 100Third                   3rd           3rd   3rd         AUR                                 
 101Thirteen Mile           13mi          13mi  13mi        AUR                                 
 102Thirteenth              13th          13th  13th        AUR                                 
 103Three Mile              3 Mi          3 Mi  3 Mi        AUR                                 
 105Twelfth                 12th          12th  12th        AUR                                 
 106Twelve Mile             12mi          12mi  12mi        AUR                                 
 107Twentieth               20th          20th  20th        AUR                                 
 108Twenty Mile             20mi          20mi  20mi        AUR                                 
 109Twenty Three Mile       23mi          23mi  23mi        AUR                                 
 110Two Mile                2 Mi          2 Mi  2 Mi        AUR                                 
 111University              Univ          Univ  Univ        AUR                                 
 112Upper                   Uppr          Uppr  Uppr        AUR                                 
 113Valley                  Val           Val   Val         AUR                                 
 115Woods                   Wood          Wood  Wood        AUR                                 
 116US                      US            US    US          AUR                                 
 126Thirtieth               30th          30th  30th        AUR                                 
 127Fortieth                40th          40th  40th        AUR                                 
 128Fiftieth                50th          50th  50th        AUR                                 
 129Sixtieth                60th          60th  60th        AUR                                 
 130Seventieth              70th          70th  70th        AUR                                 
 131Eightieth               80th          80th  80th        AUR                                 
 132Ninetieth               90th          90th  90th        AUR                 
 201Alabama                 AL            AL    AL  A       AURU                                
 202Alaska                  AK            AK    AK  A       AURU                                
 204Arizona                 AZ            AZ    AZ  A       AURU                                
 205Arkansas                AR            AR    AR  A       AURU                                
 206California              CA            CA    CA  A       AURU                                
 208Colorado                CO            CO    CO  A       AURU                                
 209Connecticut             CT            CT    CT  A       AURU                                
 210Delaware                DE            DE    DE  A       AURU                                
 211District of Columbia    DC            DC    DC  A       AURU                                
 212Florida                 FL            FL    FL  A       AURU                                
 213Georgia                 GA            GA    GA  A       AURU                                
 215Hawaii                  HI            HI    HI  A       AURU                                
 216Idaho                   ID            ID    ID  A       AURU                                
 217Illinois                IL            IL    IL  A       AURU                                
 218Indiana                 IN            IN    IN  A       AURU                                
 219Iowa                    IA            IA    IA  A       AURU                                
 220Kansas                  KS            KS    KS  A       AURU                                
 221Kentucky                KY            KY    KY  A       AURU                                
 222Louisiana               LA            LA    LA  A       AURU                                
 223Maine                   ME            ME    ME  A       AURU                                
 224Maryland                MD            MD    MD  A       AURU                                
 225Massachusetts           MA            MA    MA  A       AURU                                
 226Michigan                MI            MI    MI  A       AURU                                
 227Minnesota               MN            MN    MN  A       AURU                                
 228Mississippi             MS            MS    MS  A       AURU                                
 229Missouri                MO            MO    MO  A       AURU                                
 230Montana                 MT            MT    MT  A       AURU                                
 231Nebraska                NE            NE    NE  A       AURU                                
 232Nevada                  NV            NV    NV  A       AURU                                
 233New Hampshire           NH            NH    NH  A       AURU                                
 234New Jersey              NJ            NJ    NJ  A       AURU                                
 235New Mexico              NM            NM    NM  A       AURU                                
 236New York                NY            NY    NY  A       AURU                                
 237North Carolina          NC            NC    NC  A       AURU                                
