ADELAIDE                 CT   AU
ALABAMA                  ST   US
ALASKA                   ST   US
ALGIERS                  CT   DZ
AMSTERDAM                CT   NL
ARIZONA                  ST   US
ARKANSAS                 ST   US
ASUNCION                 CT   PY
ATHENS                   CT   GR
ATLANTA                  CT   US
AUCKLAND                 CT   NZ
AUSTIN                   CT   US
BALTIMORE                CT   US
BANGKOK                  CT   TH
BARCELONA                CT   ES
BEIJING                  CT   CN
BELFAST                  CT   IE
BERLIN                   CT   DE
BOGOTÁ                   CT   CO
BOMBAY                   CT   IN
BOSTON                   CT   US
BRASILIA                 CT   BR
BRISBANE                 CT   AU
BRUSSELS                 CT   BE
BUCHAREST                CT   RO
BUDAPEST                 CT   HU
BUENOS AIRES             CT   AR
CAIRNS                   CT   AU
CAIRO                    CT   EG
CALCUTTA                 CT   IN
CALIFORNIA               ST   US
CAMBRIDGE                CT   UK
CAMBRIDGE                ST   US
CAPE TOWN                CT   ZA
CARACAS                  CT   VE
CHICAGO                  CT   US
CHRISTCHURCH             CT   NZ
CINCINNATI               CT   US
CLEVELAND                CT   US
COLORADO                 ST   US
COLUMBUS                 CT   US
CONNECTICUT              ST   US
COPENHAGEN               CT   DK
DALLAS                   CT   US
DARWIN                   CT   AU
DC                       ST   US
DELAWARE                 ST   US
DETROIT                  CT   US
DISTRICT OF COLUMBIA     ST   US
DUBLIN                   CT   IE
FLORIDA                  ST   US
GENEVA                   CT   CH
GEORGIA                  ST   US
GUAM                     ST   US
HANOI                    CT   VN
HARARE                   CT   ZW
HAWAII                   ST   US
HELSINKI                 CT   FI
HONG KONG                CT   CN
HONOLULU                 CT   US
HOUSTON                  CT   US
IDAHO                    ST   US
ILLINOIS                 ST   US
INDIANA                  ST   US
INDIANAPOLIS             CT   US
IOWA                     ST   US
ISLAMABAD                CT   PK
ISTANBUL                 CT   TR
JACKSONVILLE             CT   US
JAKARTA                  CT   ID
JOHANNESBURG             CT   ZA
KANSAS                   ST   US
KENTUCKY                 ST   US
KUALA LUMPUR             CT   MY
LOS ANGELES              CT   US
LAHORE                   CT   PK
LEXINGTON                CT   US
LIMA                     CT   PE
LISBON                   CT   PT
LONDON                   CT   GB
LOS ANGELES              CT   US
LOUISIANA                ST   US
MADRID                   CT   ES
MAINE                    ST   US
MANILA                   CT   PH
MARRAKESH                CT   MA
MARYLAND                 ST   US
MASSACHUSETTS            ST   US
MELBOURNE                CT   AU
MEXICO CITY              CT   MX
MIAMI                    CT   US
MICHIGAN                 ST   US
MILWAUKEE                CT   US
MINNESOTA                ST   US
MISSISSIPPI              ST   US
MISSISSIPPI              ST   US
MISSOURI                 ST   US
MONTANA                  ST   US
MONTREAL                 CT   CA
MOSCOW                   CT   RU
NAIROBI                  CT   NG
NEBRASKA                 ST   US
NEVADA                   ST   US
NEW DELHI                CT   IN
NEW HAMPSHIRE            ST   US
NEW JERSEY               ST   US
NEW MEXICO               ST   US
NEW ORLEANS              CT   US
NEW YORK                 CT   US
NORFOLK                  CT   US
NORTH CAROLINA           ST   US
NORTH DAKOTA             ST   US
OHIO                     ST   US
OKLAHOMA                 ST   US
OREGON                   ST   US
ORLANDO                  CT   US
OSAKA                    CT   JP
OSLO                     CT   NO
OTTAWA                   CT   CA
PALAU                    ST   US
PARIS                    CT   FR
PENNSYLVANIA             ST   US
PERTH                    CT   AU
PHILADELPHIA             CT   US
PHNOM PENH               CT   KH
PHOENIX                  CT   US
PITTSBURGH               CT   US
PORTLAND                 CT   US
PRAGUE                   CT   CZ
PUERTO RICO              ST   US
RHODE ISLAND             ST   US
RIO DE JANEIRO           CT   BR
ROME                     CT   IT
SACRAMENTO               CT   US
SAN ANTONIO              CT   US
SAN DIEGO                CT   US
SAN FRANCISCO            CT   US
SANTIAGO DE CHILE        CT   CL
SAO PAULO                CT   BR
SEATTLE                  CT   US
SEOUL                    CT   KR
SHANGHAI                 CT   CN
SINGAPORE                CT   SG
SOFIA                    CT   BG
SOUTH CAROLINA           ST   US
SOUTH DAKOTA             ST   US
ST LOUIS                 CT   US
ST PETERSBURG            CT   RU
STOCKHOLM                CT   SE
SYDNEY                   CT   AU
TAIPEI                   CT   TW
TAMPA                    CT   US
TENNESSEE                ST   US
TEXAS                    ST   US
TOKYO                    CT   JP
TORONTO                  CT   CA
UTAH                     ST   US
VANCOUVER                CT   CA
VERMONT                  ST   US
VIENNA                   CT   AT
VIRGIN ISLANDS           ST   US
VIRGINIA                 ST   US
WARSAW                   CT   PL
WASHINGTON               CT   US
WELLINGTON               CT   NZ
WEST VIRGINIA            ST   US
WISCONSIN                ST   US
WYOMING                  ST   US

