ABDYE|ABDY
ADAMES|ADAMS
ADDAMES|ADAMS
ALBANYE|ALBANY
ALCOCKE|ALCOCK
ALDERIDGE|ALDRIDGE
ALDERSEYE|ALDERSEY
ALDRICHE|ALDRICH
ALESTREE|ALSTREE
ALFORDE|ALFORD
ALINGTON|ALLINGTON
ALISTOINE|ALISTON
ALISTONE|ALISTON
ALKINES|ALKINS
ALLABLASTER|ALABLASTER
ALLEYN|ALLEN
ALLINE|ALLEN
ALLINSON|ALLENSON
ALLYN|ALLEN
ALLYSON|ALLISON
ALSOPPE|ALSOPP
ALYNGTON|ALLINGTON
AMERIE|AMERY
AMERYE|AMERY
AMYAS|AMES
AMYES|AMES
ANDREWES|ANDREWS
ANDROSE|ANDREWS
ANDROWES|ANDREWS
ANDRO|ANDREW
ANTHONIE|ANTHONY
ANTHONYE|ANTHONY
ANWICKE|ANWICK
APLEGATE|APPLEGATE
APPLEBYE|APPLEBY
APPRICE|APRICE
APRYCE|APRICE
ARCHEDALE|ARCHDALE
ARMATREDINGE|ARMATREDING
ARMESTRONGE|ARMSTRONGE
ARONDELL|ARUNDELL
ASHEBY|ASHBY
ASHEMORE|ASHMORE
ASHETON|ASHTON
ASKE|ASK
ATKINES|ATKINS
ATKINSONE|ATKINSON
ATKYNSON|ATKINSON
ATKYNS|ATKINS
ATTKINSON|ATKINSON
AUNSELL|ANSELL
AUSTINE|AUSTEN
AUSTYNE|AUSTEN
AUSTYN|AUSTEN
AVERIE|AVERY
AWBREY|AUBREY
AWDELEY|AUDLEY
AWDLEY|AUDLEY
AWDRY|AYDREY
AYLEWARD|ALEWARD
BABYNGTON|BABINGTON
BACKHOWSE|BACKHOUSE
BADCOKE|BADCOCK
BAGSHAWE|BAGSHAW
BALDWINE|BALDWIN
BALLE|BALL
BANCKES|BANKS
BANCKE|BANK
BANESTER|BANNISTER
BANES|BAINES
BANKES|BANKS
BANNESTER|BANNISTER
BANNYNGE|BANNINGE
BANNYSTER|BANNISTER
BARBOR|BARBER
BAREFELDE|BAREFELD
BARFOOTE|BAREFOOT
BARLOWE|BARLOW
BARLO|BARLOW
BARNARDE|BARNARD
BARNERD|BARNARD
BARNESDALE|BARNSDALE
BARNESLEY|BARNSLEY
BARRET|BARRETT
BARROWE|BARROW
BARTILMEUE|BARTILMEW
BARTLET|BARTLETT
BATHERST|BATHURST
BATTES|BATES
BATTILL|BATTELL
BAYLYE|BAYLEY
BAYNES|BAINES
BEALE|BEAL
BEAMOND|BEAUMONT
BEANE|BEAN
BEASTE|BEAST
BECKET|BECKETT
BECKYLLES|BECKILLS
BEDLE|BEADLE
BEERE|BEER
BEES|BEESE
BELLOMYE|BELLAMY
BENDLOWES|BENLOWES
BENINGEFILDE|BENINGFIELD
BENNET|BENNETT
BENNE|BEAN
BENYNGE|BENNING
BENYON|BENION
BERRYE|BERRY
BESSE|BEESE
BESTOWE|BESTOW
BETTES|BETTS
BIGGES|BIGGS
BILLINGESLEY|BILLINGSLEY
BINCKES|BINCKS
BIRDE|BIRD
BISHOPP|BISHOP
BLACKWAYE|BLACKWAY
BLANCK|BLANK
BLANDE|BLAND
BLEWE|BLUE
BLOUNT|BLUNT
BLUNTE|BLUNT
BLYNCKERNE|BLINCKERNE
BODDYE|BODYE
BODLEIGH|BODLEY
BODYE|BODEY
BONDE|BOND
BONEVANT|BONNEVANT
BONTINGE|BONTING
BOOTHBYE|BOOTHBY
BORNAME|BORNAM
BORNE|BOURN
BOURNE|BOURN
BOWDELER|BOWDLER
BOWER|BOWYER
BOWLDER|BOULDER
BOWLINGE|BOWLING
BOWLTINGE|BOLTINGE
BOWRES|BOWERD
BOWRE|BOWER
BOWRYE|BOWRY
BOXE|BOX
BOYCE|BOISE
BOYER|BOWYER
BOYSE|BOISE
BRADBORNE|BRADBORN
BRADGAT|BRADGATE
BRADSHAWE|BRADSHAW
BRAGGE|BRAGG
BRANCHE|BRANCH
BRANDE|BRAND
BRAUNCHE|BRANCH
BRAWNE|BRAWN
BRAYE|BRAY
BREAME|BREAM
BRESSIE|BRESSY
BREWAR|BREWER
BREWYN|BREWIN
BROCKBANCKE|BROCKBANK
BROKEBANCKE|BROCKBANK
BROKEBANKE|BROCKBANK
BROKE|BROCK
BROKMAN|BROOKMAN
BROMLYE|BROMLEY
BROOKE|BROOK
BROUGHE|BROUGH
